courseId|name|point
10534|학교폭력예방및학생의이해|2.0
10654|안전및조직관리사례연구|2.0
10083|취업전략및사회진출|2.0
534|교육행정및교육경영|2.0
10656|조직리더십사례연구|2.0
607|국어학개론|3.0
10436|국어어문생활의실제|3.0
3727|향가여요론|3.0
10547|매체언어론|3.0
8369|한국근대소설론|3.0
8484|한국문학과영상문화|3.0
7946|한국고전소설론|3.0
7947|한국현대희곡론|3.0
8232|국어교과교재연구및지도법|3.0
8317|국어논리및논술|3.0
8368|한국문화와한국어교육|3.0
11953|AI를활용한한국어교육|3.0
8372|한국어정보처리론|3.0
8490|한국문학의역사|3.0
10112|졸업연구및진로2|1.0
10437|국어화용론|3.0
8739|현대중국의이해|3.0
9611|초급중국어|3.0
11630|일본문화의이해|3.0
11640|초급일본어2|3.0
11774|미래사회와언어데이터|3.0
11777|언어와문화의번역|3.0
7774|영어어휘와발음|3.0
2161|영미단편소설|3.0
6106|영어와컴퓨터|3.0
6554|국제업무와영어|3.0
7777|영어토론과발표|3.0
2238|영어통사론|3.0
7927|미국사회와문학|3.0
8233|영어교과교재연구및지도법|3.0
8318|영어논리및논술|3.0
8376|영어교육세미나|3.0
7932|영미명작의세계|3.0
10377|일본어회화|3.0
11619|고급일본어|3.0
11626|일본문장리터러시|3.0
9087|일문학과역사|3.0
9091|일본지역연구|3.0
9089|미디어일본어|3.0
9090|일본문화콘텐츠|3.0
6408|일본어능력시험|0.0
8402|한일비교문화론|3.0
5846|비즈니스일본어|3.0
8742|국제통상개론|3.0
7751|중급중국어2|3.0
9498|중급중국어연습2|3.0
9503|중국지역문화|3.0
8758|중국어능력시험|0.0
9506|중국문학과문화|3.0
10520|중한회화연습2|3.0
10390|무역실무와e트레이드|3.0
7968|시사중국어|3.0
8763|한중관계론|3.0
9505|중국과세계|3.0
9806|문화유적현장실습1|1.0
5845|한국의문화유산|3.0
11671|세계사속의한국사|3.0
3507|한국고대사|3.0
9807|문화유적현장실습2|1.0
1690|서양중세사|3.0
3608|한국중세사|3.0
10806|동아시아중세사|3.0
9808|문화유적현장실습3|1.0
10256|한국근대사|3.0
8236|역사교과교재연구및지도법|3.0
8321|역사논리및논술|3.0
10254|서양근대사|3.0
10257|동아시아근대사|3.0
10259|한국사상·문화사|3.0
10260|20세기현대사|3.0
10807|서양사학사|3.0
9102|교육사의이해|3.0
5072|교육행정의이론과실제|3.0
5285|교육공학의이론과실제|3.0
5855|평생교육방법론|3.0
11096|에듀테크빅데이터의이해와분석|3.0
7712|교육통계|3.0
7713|평생교육프로그램개발론|3.0
7714|평생교육경영론|3.0
8235|교육학교과교재연구및지도법|3.0
8320|교육학논리및논술|3.0
7715|성인학습및상담|3.0
7886|사회조사방법론|3.0
11685|전공한국어읽기|3.0
11686|한국어숙달도향상|3.0
11719|Technical Writing|3.0
11720|Seminar on Parliamentary Debate|3.0
11693|한국문학의이해|3.0
11694|한국어의미화용론|3.0
11695|한국어발표와토론|3.0
11750|국제통상개론|3.0
10511|한국사회문화의이해|3.0
11752|한국정치경제의이해|3.0
11727|Introduction to International Development|3.0
11728|Korea and the World|3.0
11730|Regions and the World|3.0
3725|행정학원론|3.0
3736|헌법학원론|3.0
2873|재무행정론|3.0
3703|행정법|3.0
9909|조직론2|3.0
9934|빅데이터와행정분석|3.0
11843|행정통계분석(응용)|3.0
686|국제행정론|3.0
822|기획론|3.0
3698|행정관리론|3.0
7182|행정규제론|3.0
7245|행정개혁론|3.0
8237|일반사회교과교재연구및지도법|3.0
8322|일반사회논리및논술|3.0
11844|행동경제학과공공정책|3.0
392|관료제도론|3.0
3623|한국행정론|3.0
9106|정책사례분석|3.0
8426|미디어의이해|3.0
11559|광고PR의이해|3.0
10261|커뮤니케이션통계실무|3.0
4661|취재보도론|3.0
8428|HCI와커뮤니케이션|3.0
10469|통합마케팅커뮤니케이션기획|3.0
11556|방송콘텐츠기획|3.0
6593|조직커뮤니케이션|3.0
7521|미디어산업과정책|3.0
10262|뉴스큐레이션|3.0
10472|SNS전략커뮤니케이션|3.0
6111|프리젠테이션실습|3.0
7525|매체비평론|3.0
10480|브랜드콘텐츠제작|3.0
8712|인권과법|3.0
8713|계약법|3.0
8805|법철학|3.0
9601|헌법2|3.0
9603|물권법|3.0
9609|형법각론|3.0
137|경영학원론|3.0
10494|Introduction to Finance|3.0
398|관리회계|3.0
3061|조직행동론|3.0
4218|경영정보론|3.0
10620|생산관리|3.0
1092|마케팅조사|3.0
1766|소비자행동론|3.0
3359|투자론|3.0
4010|회계원리2|3.0
6802|기업재무|3.0
9875|Global Supply Chain Management and Sourcing|3.0
395|관리경제학|3.0
1753|세무회계|3.0
5589|선물옵션이론|3.0
6798|유통경로관리|3.0
6800|벤처경영론|3.0
7251|인적자원개발론|3.0
7983|금융기관론|3.0
9254|디지털경영론|3.0
9257|CEO멘토링2|2.0
9873|중급회계2|3.0
10102|Services Marketing in a Global Context|3.0
10392|상업교과교재연구및지도법|3.0
10393|상업논리및논술|3.0
10851|사이버보안경영론|3.0
11933|핀테크개론|3.0
